confidence,total_trade,win,loss,winrate,profit_factor,net_profit,roi,saldo_akhir
0.7200000000000002,126,66,60,52.38095238095239,1.5438809239776268,17229857.103311058,172.2985710331106,27229857.103311058
0.7100000000000002,128,67,61,52.34375,1.496019355682792,17569849.099103007,175.69849099103007,27569849.099103007
0.7000000000000002,128,67,61,52.34375,1.465868018678429,17569849.09910298,175.69849099102981,27569849.09910298
0.6800000000000002,133,69,64,51.8796992481203,1.5007903751023552,17414742.870213516,174.14742870213516,27414742.870213516
0.6900000000000002,130,67,63,51.53846153846153,1.4330492113145203,15940471.017346013,159.40471017346013,25940471.017346013
0.5800000000000001,222,114,108,51.35135135135135,1.4364442890278335,39399055.79469821,393.9905579469821,49399055.79469821
0.53,388,198,190,51.03092783505154,1.3318622458900828,138885851.6269578,1388.858516269578,148885851.6269578
0.5900000000000001,198,101,97,51.010101010101,1.3579860162557518,29555307.79640142,295.55307796401416,39555307.79640142
0.7700000000000002,108,55,53,50.92592592592593,1.416782484413394,11030664.959860824,110.30664959860823,21030664.959860824
0.6700000000000002,134,68,66,50.74626865671642,1.430712863874346,14712139.841525111,147.12139841525112,24712139.84152511
0.54,348,176,172,50.57471264367817,1.3591465679826593,90318672.64702328,903.1867264702328,100318672.64702328
0.7900000000000003,99,50,49,50.505050505050505,1.3804829056926566,9172537.903020073,91.72537903020073,19172537.903020073
0.7600000000000002,110,55,55,50.0,1.379033388401047,9787752.660733055,97.87752660733055,19787752.660733055
0.7800000000000002,102,51,51,50.0,1.3561927388208896,8829568.424938876,88.29568424938876,18829568.424938876
0.51,444,221,223,49.77477477477478,1.295573732166026,136055658.8572071,1360.556588572071,146055658.8572071
0.6200000000000001,161,80,81,49.68944099378882,1.3822050249687305,16175433.15141325,161.7543315141325,26175433.15141325
0.6400000000000001,147,73,74,49.65986394557823,1.3218019659461178,13997759.113298632,139.9775911329863,23997759.113298632
0.6600000000000001,137,68,69,49.63503649635037,1.369244502384529,12554102.805584252,125.54102805584253,22554102.805584252
0.6000000000000001,178,88,90,49.43820224719101,1.3288180918177075,18039988.144560363,180.39988144560363,28039988.144560363
0.7300000000000002,122,60,62,49.18032786885246,1.3557166144899362,9810027.3747092,98.100273747092,19810027.3747092
0.52,421,206,215,48.9311163895487,1.1822661307614202,87968199.44780001,879.6819944780001,97968199.44780001
0.5700000000000001,248,121,127,48.79032258064516,1.313443964553021,27385452.93968153,273.85452939681534,37385452.93968153
0.7500000000000002,115,56,59,48.69565217391305,1.3244251055238891,8285241.592464652,82.85241592464652,18285241.592464652
0.55,306,149,157,48.69281045751634,1.2798020927640918,39789626.13277022,397.8962613277022,49789626.13277022
0.7400000000000002,120,58,62,48.333333333333336,1.3296454924442744,8182369.978712056,81.82369978712056,18182369.978712056
0.56,276,132,144,47.82608695652174,1.2537732062482578,25695407.71878548,256.9540771878548,35695407.71878548
0.5,453,216,237,47.682119205298015,1.1791851395453106,66954887.08833432,669.5488708833432,76954887.08833432
0.6500000000000001,141,66,75,46.808510638297875,1.188487679685225,7243339.390696574,72.43339390696573,17243339.390696574
0.6300000000000001,154,72,82,46.75324675324675,1.2031743910802946,8018858.350673761,80.18858350673761,18018858.35067376
0.8000000000000003,91,42,49,46.15384615384615,1.2165055611276332,3606338.3019099515,36.06338301909952,13606338.301909951
0.6100000000000001,167,77,90,46.10778443113773,1.1873457064823936,7497967.596861612,74.97967596861612,17497967.596861612
0.8200000000000003,66,28,38,42.42424242424242,1.0340560815224389,437826.95729369856,4.378269572936986,10437826.957293699
0.8100000000000003,79,32,47,40.50632911392405,0.9562438242103158,-580564.6188757736,-5.805646188757736,9419435.381124226
0.8400000000000003,35,13,22,37.142857142857146,0.8379990605872926,-1066884.3475947715,-10.668843475947714,8933115.652405228
0.8300000000000003,55,20,35,36.36363636363637,0.8102261893878095,-1883728.8106170977,-18.837288106170977,8116271.189382902
