buy_conf,sell_conf,total_trade,buy_trade,sell_trade,win,loss,winrate,profit_factor,max_drawdown,net_profit,roi,saldo_akhir,score
0.7200000000000002,0.5,315,126,189,174,141,55.23809523809524,1.706316895205918,6.378323303343207,20190.32074359501,201.9032074359501,30190.32074359501,146.68487995945955
0.7100000000000002,0.5,317,128,189,174,143,54.889589905362776,1.6645214786953475,7.314540070309798,19589.53336079744,195.8953336079744,29589.53336079744,142.23291071662547
0.5800000000000001,0.5,373,197,176,202,171,54.15549597855228,1.589379469294222,11.088294875766477,23510.39819122391,235.10398191223908,33510.39819122391,141.04128082984312
0.6900000000000002,0.5,318,130,188,174,144,54.71698113207547,1.6485597822686298,7.3145400703098,19293.638027189467,192.93638027189465,29293.638027189467,140.91634780569714
0.6800000000000002,0.5,321,133,188,175,146,54.51713395638629,1.6440007722374048,8.241394669606688,19129.870772052942,191.29870772052942,29129.870772052942,138.91624740738519
0.7000000000000002,0.5,317,128,189,174,143,54.889589905362776,1.6580262196788578,9.561792499119553,19589.533360797443,195.8953336079744,29589.533360797443,138.60222171275126
0.6700000000000002,0.5,322,134,188,175,147,54.347826086956516,1.642170560676146,8.24139466960668,18838.5720643324,188.385720643324,28838.5720643324,138.17578759477888
0.6100000000000001,0.5,344,158,186,184,160,53.48837209302325,1.5894317335268533,7.009847123916671,18832.679482846055,188.32679482846055,28832.679482846055,137.4720436674029
0.6200000000000001,0.5,339,151,188,182,157,53.687315634218294,1.5860120425009552,7.529712293176488,18866.205856630364,188.66205856630364,28866.205856630364,136.72198279064335
0.7700000000000002,0.5,297,108,189,162,135,54.54545454545454,1.6484495238515022,7.725530557207988,16947.48653894618,169.47486538946183,26947.48653894618,135.51738546886776
0.7300000000000002,0.5,311,122,189,168,143,54.019292604501615,1.6272868135364795,7.725530557207978,17124.951374649572,171.24951374649572,27124.951374649572,134.7627257571972
0.5,0.52,442,378,64,230,212,52.03619909502263,1.4751260869564227,11.688047643447423,23302.634456196167,233.02634456196168,33302.63445619617,134.09634047298943
0.7600000000000002,0.5,299,110,189,162,137,54.18060200668896,1.6262046728395436,7.725530557208001,16411.231556821145,164.11231556821144,26411.231556821145,133.3726551947565
0.7900000000000003,0.5,288,99,189,157,131,54.513888888888886,1.641721874211279,8.241394669606702,16091.749201576156,160.91749201576155,26091.749201576156,132.74722581163786
0.6000000000000001,0.5,350,165,185,185,165,52.85714285714286,1.5261213058374636,7.0098471239166145,17819.917333124555,178.19917333124556,27819.917333124555,132.59848764244418
0.7800000000000002,0.5,291,102,189,158,133,54.29553264604811,1.628191634870944,7.725530557207998,15945.882233994795,159.45882233994794,25945.882233994795,132.57890035003942
0.53,0.5,434,299,135,224,210,51.61290322580645,1.4740306805120034,9.999608918283055,21148.637411262916,211.48637411262916,31148.637411262916,132.0655402784846
0.6600000000000001,0.5,324,136,188,174,150,53.70370370370371,1.6015676419479286,9.369871018542293,17579.37870633715,175.7937870633715,27579.37870633715,132.01850841462985
0.53,0.54,376,337,39,197,179,52.3936170212766,1.5381040933672474,8.86035116615067,18759.865806256523,187.59865806256525,28759.865806256523,131.95017710861526
0.5900000000000001,0.5,361,179,182,190,171,52.63157894736842,1.5134387636822257,7.939748652677434,18160.560371030533,181.60560371030533,28160.560371030533,131.26483778401814
0.6400000000000001,0.5,331,143,188,179,152,54.0785498489426,1.5999529108907686,11.959422607869397,19062.244856935333,190.62244856935334,29062.244856935333,131.22274716216862
0.7500000000000002,0.5,304,115,189,163,141,53.61842105263158,1.5998518142632043,7.832701841465142,15740.93329799741,157.4093329799741,25740.93329799741,130.53609693064107
0.5,0.53,438,398,40,225,213,51.369863013698634,1.4560765757509824,9.876542379818245,20664.754710791036,206.64754710791038,30664.754710791036,130.44269038874333
0.7400000000000002,0.5,309,120,189,166,143,53.72168284789643,1.6208734704643786,9.790183980952682,16349.917048514882,163.49917048514882,26349.917048514882,129.7103383681241
