entry_time,exit_time,signal,entry,sl,tp,result,profit,saldo,buy_probability,sell_probability
2026-05-18 22:18:00,2026-05-18 23:21:00,SELL,4553.06,4556.735000000001,4547.547500000001,LOSS,-310370.82901724806,10035323.471557688,0.4347257580137026,0.5652742419862978
2026-05-19 01:45:00,2026-05-19 01:46:00,BUY,4576.77,4575.488571428572,4578.692142857143,LOSS,-301059.70414673066,9734263.767410958,0.5623172655763848,0.43768273442361605
2026-05-19 02:09:00,2026-05-19 02:18:00,BUY,4580.14,4578.567142857143,4582.499285714286,WIN,438041.8695334931,10172305.63694445,0.5553743698399433,0.4446256301600573
2026-05-19 02:29:00,2026-05-19 02:32:00,BUY,4585.67,4584.1507142857145,4587.948928571428,LOSS,-305169.1691083335,9867136.467836117,0.5682799835832244,0.43172001641677604
2026-05-19 02:50:00,2026-05-19 02:56:00,BUY,4582.41,4581.140714285714,4584.313928571429,LOSS,-296014.0940350835,9571122.373801034,0.6493467354139884,0.35065326458601226
2026-05-19 03:23:00,2026-05-19 03:30:00,SELL,4579.84,4583.132857142858,4574.9007142857145,WIN,430700.50682104647,10001822.88062208,0.43876087692082444,0.5612391230791794
2026-05-19 05:18:00,2026-05-19 05:27:00,SELL,4556.69,4559.585714285714,4552.346428571428,LOSS,-300054.6864186624,9701768.194203418,0.4488306860403245,0.551169313959679
2026-05-19 06:14:00,2026-05-19 08:11:00,SELL,4551.76,4554.261428571429,4548.007857142857,WIN,436579.5687391538,10138347.762942571,0.4492251491418331,0.550774850858171
2026-05-19 09:14:00,2026-05-19 09:26:00,BUY,4541.95,4539.074285714286,4546.263571428572,WIN,456225.64933241566,10594573.412274987,0.5764205466335796,0.4235794533664221
2026-05-19 09:57:00,2026-05-19 10:04:00,BUY,4548.45,4546.211428571428,4551.807857142857,LOSS,-317837.2023682496,10276736.209906736,0.5697316711179813,0.4302683288820202
2026-05-19 10:59:00,2026-05-19 11:14:00,SELL,4557.13,4560.355,4552.2925000000005,WIN,462453.1294458031,10739189.339352539,0.4206639468534818,0.5793360531465191
2026-05-19 13:57:00,2026-05-19 15:06:00,BUY,4541.8,4538.737857142857,4546.393214285715,LOSS,-322175.68018057616,10417013.659171963,0.5709836052074678,0.4290163947925332
2026-05-19 15:06:00,2026-05-19 15:09:00,BUY,4536.58,4533.981428571428,4540.477857142857,WIN,468765.6146627383,10885779.273834702,0.5516672289031604,0.44833277109684205
2026-05-19 15:29:00,2026-05-19 15:40:00,BUY,4543.29,4540.864285714286,4546.928571428572,LOSS,-326573.378215041,10559205.89561966,0.5747306541391871,0.425269345860814
2026-05-19 16:12:00,2026-05-19 16:21:00,BUY,4525.94,4520.990714285714,4533.363928571428,LOSS,-316776.1768685898,10242429.718751071,0.5636283451252533,0.43637165487474744
2026-05-19 16:35:00,2026-05-19 16:37:00,BUY,4474.76,4466.848571428572,4486.627142857144,WIN,460909.33734379814,10703339.05609487,0.7995829874164502,0.20041701258354822
2026-05-19 16:47:00,2026-05-19 16:50:00,BUY,4477.48,4470.960714285714,4487.258928571428,WIN,481650.25752426917,11184989.313619139,0.8323058574640028,0.16769414253599615
2026-05-19 17:00:00,2026-05-19 17:04:00,BUY,4497.85,4490.873571428571,4508.314642857144,WIN,503324.5191128612,11688313.832732,0.7998647233833955,0.2001352766166039
2026-05-19 17:13:00,2026-05-19 17:21:00,BUY,4496.75,4490.079285714286,4506.756071428572,LOSS,-350649.41498195997,11337664.41775004,0.8845050135387134,0.11549498646128604
2026-05-19 17:25:00,2026-05-19 17:28:00,BUY,4486.81,4482.17,4493.77,WIN,510194.89879875176,11847859.316548793,0.8544517447908391,0.1455482552091603
2026-05-19 17:40:00,2026-05-19 17:42:00,BUY,4490.36,4485.836428571428,4497.145357142857,WIN,533153.6692446957,12381012.985793488,0.8907196383404982,0.10928036165950122
2026-05-19 17:57:00,2026-05-19 18:01:00,BUY,4491.92,4488.381428571429,4497.227857142858,WIN,557145.584360707,12938158.570154196,0.8072727626849058,0.1927272373150945
2026-05-19 18:09:00,2026-05-19 18:18:00,BUY,4498.27,4494.658571428572,4503.687142857143,WIN,582217.1356569388,13520375.705811134,0.7826060175624122,0.21739398243758634
2026-05-19 18:20:00,2026-05-19 18:23:00,BUY,4499.33,4495.78,4504.655,LOSS,-405611.271174334,13114764.4346368,0.8654746052051854,0.1345253947948141
2026-05-19 18:30:00,2026-05-19 18:31:00,BUY,4501.77,4498.5878571428575,4506.543214285714,WIN,590164.3995586559,13704928.834195456,0.7323863464677796,0.2676136535322192
2026-05-19 18:48:00,2026-05-19 18:55:00,BUY,4502.27,4499.8835714285715,4505.849642857143,WIN,616721.7975387955,14321650.631734252,0.7808620466104542,0.21913795338954528
2026-05-19 19:01:00,2026-05-19 19:04:00,BUY,4507.35,4505.239285714286,4510.516071428571,LOSS,-429649.51895202755,13892001.112782225,0.7092085925550233,0.29079140744497667
2026-05-19 19:12:00,2026-05-19 19:20:00,BUY,4498.11,4495.8664285714285,4501.475357142857,WIN,625140.0500752,14517141.162857424,0.8119238311630399,0.18807616883695974
2026-05-19 19:23:00,2026-05-19 19:25:00,BUY,4504.25,4502.413571428571,4507.004642857143,WIN,653271.3523285841,15170412.515186008,0.6406088918142955,0.35939110818570513
2026-05-19 19:39:00,2026-05-19 19:48:00,BUY,4508.74,4506.469285714285,4512.146071428571,LOSS,-455112.37545558024,14715300.139730427,0.7815045804449737,0.21849541955502566
2026-05-19 19:58:00,2026-05-19 20:00:00,BUY,4508.26,4506.847142857143,4510.379285714285,LOSS,-441459.0041919128,14273841.135538515,0.6403866073746525,0.35961339262534786
2026-05-19 20:13:00,2026-05-19 20:16:00,BUY,4508.58,4507.015714285714,4510.926428571428,WIN,642322.8510992331,14916163.986637749,0.7285318342013659,0.27146816579863386
2026-05-19 20:24:00,2026-05-19 20:26:00,BUY,4503.53,4501.870714285714,4506.018928571429,WIN,671227.3793986987,15587391.366036447,0.811077612217614,0.18892238778238604
2026-05-19 20:37:00,2026-05-19 20:39:00,BUY,4505.82,4503.969285714285,4508.596071428571,LOSS,-467621.7409810934,15119769.625055354,0.7844208068788531,0.2155791931211471
2026-05-19 21:00:00,2026-05-19 21:09:00,BUY,4500.69,4499.469999999999,4502.5199999999995,WIN,680389.6331274909,15800159.258182844,0.693756659243398,0.30624334075660337
2026-05-19 21:13:00,2026-05-19 21:16:00,BUY,4501.98,4500.710714285714,4503.883928571428,LOSS,-474004.7777454853,15326154.480437359,0.7615845742423238,0.23841542575767566
2026-05-19 21:23:00,2026-05-19 21:26:00,BUY,4497.75,4496.376428571429,4499.810357142857,WIN,689676.9516196811,16015831.43205704,0.8092467428352862,0.1907532571647139
2026-05-19 21:36:00,2026-05-19 21:41:00,BUY,4497.22,4495.495714285715,4499.806428571429,WIN,720712.4144425668,16736543.846499607,0.7601427019086264,0.2398572980913736
2026-05-19 21:51:00,2026-05-19 21:53:00,BUY,4498.13,4496.904285714286,4499.9685714285715,LOSS,-502096.31539498817,16234447.531104619,0.7717518873210416,0.2282481126789585
2026-05-19 22:04:00,2026-05-19 22:10:00,BUY,4493.71,4491.951428571429,4496.347857142857,WIN,730550.1388997078,16964997.670004327,0.7331921016866749,0.2668078983133251
2026-05-19 22:19:00,2026-05-19 22:20:00,BUY,4492.68,4491.364285714286,4494.653571428572,LOSS,-508949.9301001298,16456047.739904197,0.8210235729071067,0.17897642709289338
2026-05-19 22:41:00,2026-05-19 22:51:00,BUY,4487.24,4485.657857142857,4489.613214285714,LOSS,-493681.43219712586,15962366.307707071,0.7661747204223739,0.2338252795776264
2026-05-19 22:52:00,2026-05-19 22:55:00,BUY,4484.3,4483.082857142857,4486.125714285715,LOSS,-478870.9892312121,15483495.31847586,0.8350853027288296,0.1649146972711702
